560;Geofence zone 61
561;Geofence zone 62
562;Geofence zone 63
563;Geofence zone 64
564;Geofence zone 65
565;Geofence zone 66
566;Geofence zone 67
567;Geofence zone 68
568;Geofence zone 69
569;Geofence zone 70
570;Geofence zone 71
571;Geofence zone 72
572;Geofence zone 73
573;Geofence zone 74
574;Geofence zone 75
575;Geofence zone 76
576;Geofence zone 77
577;Geofence zone 78
578;Geofence zone 79
579;Geofence zone 80
580;Geofence zone 81
581;Geofence zone 82
582;Geofence zone 83
583;Geofence zone 84
584;Geofence zone 85
585;Geofence zone 86
586;Geofence zone 87
587;Geofence zone 88
588;Geofence zone 89
589;Geofence zone 90
590;Geofence zone 91
591;Geofence zone 92
592;Geofence zone 93
593;Geofence zone 94
594;Geofence zone 95
595;Geofence zone 96
596;Geofence zone 97
597;Geofence zone 98
598;Geofence zone 99
599;Geofence zone 100
175;Auto Geofence
250;Trip
255;Over Speeding
257;Crash Trace Data
258;EcoMaximum
259;EcoAverage
260;EcoDuration
243;Idling
244;Camera Image Generated
253;Green Driving Type
246;Towing
248;Geofence Zone Over Speeding
247;Crash Detection
251;Immobilizer
254;Green Driving Value
249;Jamming
252;Authorized Driving
242;Data Limit Hit
358;Custom Scenario 1
359;Custom Scenario 2
360;Custom Scenario 3
361;Custom Scenario 4
10611;RS232_COM1Data
10612;RS232_COM2Data
145;Manual CAN 00
146;Manual CAN 01
147;Manual CAN 02
148;Manual CAN 03
149;Manual CAN 04
150;Manual CAN 05
151;Manual CAN 06
152;Manual CAN 07
153;Manual CAN 08
154;Manual CAN 09
380;Manual CAN 10
381;Manual CAN 11
382;Manual CAN 12
383;Manual CAN 13
384;Manual CAN 14
385;Manual CAN 15
386;Manual CAN 16
387;Manual CAN 17
388;Manual CAN 18
389;Manual CAN 19
10298;Manual CAN 20
10299;Manual CAN 21
10300;Manual CAN 22
10301;Manual CAN 23
10302;Manual CAN 24
10303;Manual CAN 25
10304;Manual CAN 26
10305;Manual CAN 27
10306;Manual CAN 28
10307;Manual CAN 29
10308;Manual CAN 30
10309;Manual CAN 31
10310;Manual CAN 32
10311;Manual CAN 33
10312;Manual CAN 34
10313;Manual CAN 35
10314;Manual CAN 36
10315;Manual CAN 37
10316;Manual CAN 38
10317;Manual CAN 39
10318;Manual CAN 40
10319;Manual CAN 41
10320;Manual CAN 42
10321;Manual CAN 43
10322;Manual CAN 44
10323;Manual CAN 45
10324;Manual CAN 46
10325;Manual CAN 47
10326;Manual CAN 48
10327;Manual CAN 49
10328;Manual CAN 50
10329;Manual CAN 51
10330;Manual CAN 52
10331;Manual CAN 53
10332;Manual CAN 54
10333;Manual CAN 55
10334;Manual CAN 56
10335;Manual CAN 57
10336;Manual CAN 58
10337;Manual CAN 59
10338;Manual CAN 60
10339;Manual CAN 61
10340;Manual CAN 62
10341;Manual CAN 63
10342;Manual CAN 64
10343;Manual CAN 65
10344;Manual CAN 66
10345;Manual CAN 67
10346;Manual CAN 68
10347;Manual CAN 69
183;Drive Recognize
184;Driver 1 Working State
185;Driver 2 Working State
186;Tachograph Over Speed
187;Driver 1 Card Presence
188;Driver 2 Card Presence
189;Driver 1 Time Related States
190;Driver 2 Time Related States
191;Vehicle Speed
192;Odometer
193;Trip Distance
194;Timestamp
231;Vehicle Registration Number Part1
232;Vehicle Registration Number Part2
233;Vehicle Identification Number Part1
234;Vehicle Identification Number Part2
235;Vehicle Identification Number Part3
222;Card 1 Issuing Member State
223;Card 2 Issuing Member State
195;Driver 1 ID MSB
196;Driver 1 ID LSB
197;Driver 2 ID MSB
198;Driver 2 ID LSB
56;Driver 1 Continuous Driving Time
57;Driver 2 Continuous Driving Time
58;Driver 1 Cumulative Break Time
59;Driver 2 Cumulative Break Time
60;Driver 1 Selected Activity Duration
61;Driver 2 Selected Activity Duration
69;Driver 1 Cumulative Driving Time
77;Driver 2 Cumulative Driving Time
48;Tacho Data Source
10501;Drivers hours rules pre warning time delay
10502;Out Of Scope Condition
10503;Next Calibration Date
10504;Driver 1 end of last daily rest report
10505;Driver 1 end of last weekly rest period
10506;Driver 1 end of second last weekly rest period
10507;Driver 1 current daily driving time
10508;Driver 1 current weekly driving time
10509;Driver 1 time left until new daily rest period
10510;Driver 1 number of times 9h daily driving time exceeds
10511;Driver 2 end of last daily rest report
10512;Driver 2 end of last weekly rest period
10513;Driver 2 end of second last weekly rest period
10514;Driver 2 current daily driving time
10515;Driver 2 current weekly driving time
10516;Driver 2 time left until new daily rest period
10517;Driver 2 number of times 9h daily driving time exceeds
10518;Driver 1 Name
10519;Driver 1 SurName
10520;Driver 2 Name
10521;Driver 2 SurName
10522;Driver 1 Time Left Until New Weekly Rest Period
10523;Driver 2 Time Left Until New Weekly Rest Period
10524;Driver 1 Minimum Daily Rest
10525;Driver 2 Minimum Daily Rest
10526;Driver 1 Minimum Weekly Rest
10527;Driver 2 Minimum Weekly Rest
10528;Driver 1 Duration Of Next Break Rest
10529;Driver 2 Duration Of Next Break Rest
10530;Driver 1 Remaining Time Until Next Break Or Rest
10531;Driver 2 Remaining Time Until Next Break Or Rest
10532;Driver 1 Remaining Current Driving Time
10533;Driver 1 Remaining Driving Time On Current Shift
10534;Driver 1 Remaining Driving Time Of Current Week
10535;Driver 1 Open Compensation In The Last Week
10536;Driver 1 Open Compensation In Week Before Last
10537;Driver 1 Open Compensation In 2nd Week Before Last
10538;Driver 1 Additional Information
10539;Driver 1 Remaining Time Of Current Break Rest
10540;Driver 1 Time Left Until Next Driving Period
10541;Driver 1 Duration Of Next Driving Period
10542;Border Crossing Info
10543;K-Line Privacy Mode
13260;Vehicle load type info
13261;Driver1 load/unload time
13262;Driver2 load/unload time
13263;Drivers private data consent
288;ME Sound Type
289;ME Pedestrians in Danger Zone
290;ME Pedestrians in Forward Collision Warning
291;ME Time Indicator
292;ME Error Valid
293;ME Error Code
294;ME Zero Speed
295;ME Headway Valid
